#--- Do not edit. Generated automatically from fig15i ---
#Time_sec,Time_min,Time_hr,A7: Amp+,LB_only,H4: 631X+261x_medium,no_phages,A10: Amp+,631X+261x_medium=3/5,H5: 631+261X,no_phages,B10: Amp+,631+261x_medium=3/5,H6: 631∆G3P+261X,no_phages,C10: Amp+,631∆G3P+261x_medium=3/5,H7: 631∆G3P+Kanϕ_medium,no_phages,D10: Amp+,631∆G3P+Kanϕ_medium=3/5,H8: 631+Kanϕ,unfiltered-50kDa_medium,no_phages,E10: Amp+,631+Kanϕ,unfiltered-50kDa,medium=3/5,H9: 631+Kanϕ,filtered-50kDa,medium,no_phages,F10: Amp+,631+Kanϕ,filtered-50kDa,medium=3/5,H10: 631+_phagemid_carrying_the_G3P,no_phages,G10: Amp+,631+phagemid,medium=3/5
Time_sec,Time,Time_hr,A7,H4,A10,H5,B10,H6,C10,H7,D10,H8,E10,H9,F10,H10,G10
86021,1433.68333333333,23.89472222222,207455691,93243217,198034458,105960523,67504966,122670535,42836363,140734534,58515093,127172240,113506204,90579165,76846033,117821461,96339449
86921,1448.68333333333,24.14472222222,210450134,94784441,200952304,107612794,69451610,124460511,42333421,143149653,56741176,127627323,118695125,91715752,75129918,120012269,97514769
87821,1463.68333333333,24.39472222222,215291286,96339449,205670546,109697829,70765992,127627323,42083137,146077796,54708626,128083301,123563741,93243217,72762562,122225268,97514769
88721,1478.68333333333,24.64472222222,217122634,98302637,207455691,111804799,72427714,129456608,41584940,149535445,52434348,128540174,128540174,94397844,70107137,124011680,97514769
89621,1493.68333333333,24.89472222222,218962682,99490932,211654642,114362192,74110314,131763392,41337026,151531355,50211741,127627323,135972258,94784441,67504966,125360849,96730358
90521,1508.68333333333,25.14472222222,220811442,102293973,214682767,117385958,74789212,135030647,41337026,155059489,48040586,129916170,139296349,96339449,64640909,127627323,95171899
91421,1523.68333333333,25.39472222222,222048793,103914836,217122634,119133286,74449344,135972258,41337026,157607153,45920664,129916170,143635402,97122132,61843666,129916170,93243217
92321,1538.68333333333,25.64472222222,223290025,105960523,220194220,121780890,74110314,139296349,41584940,160694760,44107587,129916170,148048117,98302637,59112925,132227443,90579165
93221,1553.68333333333,25.89472222222,225784143,108028049,222048793,124910234,73098246,142180881,41584940,162251031,42584496,129456608,152534806,99093967,56448374,133158243,87957101
94121,1568.68333333333,26.14472222222,227664943,109279069,223290025,127172240,71760523,144609628,42083137,163815629,41584940,129456608,157095779,100287461,53849703,135501001,84647335
95021,1583.68333333333,26.39472222222,229554507,111804799,225784143,128540174,70436148,145587496,42584496,165914732,40353262,129916170,159146805,100687026,51873861,136917479,81050559
95921,1598.68333333333,26.64472222222,229554507,114362192,228293823,132692393,68799408,148542979,43342474,169091242,39623711,130376629,160694760,101488762,50211741,138818765,77538361
96821,1613.68333333333,26.89472222222,230186312,116517605,230819092,133624993,66542838,149535445,43851755,171227524,38661984,131300239,163293170,102293973,48578563,140734534,73772122
97721,1628.68333333333,27.14472222222,230186312,118695125,233997642,136917479,64326811,153037906,44621632,173918861,37948931,131763392,164863326,103508314,47505811,143149653,70436148
98621,1643.68333333333,27.39472222222,232723290,120894803,234636285,139774838,61536972,155567182,45659265,175544875,37009158,131763392,166969851,104730493,46182860,145098107,67504966
99521,1658.68333333333,27.64472222222,231452848,123116693,237200646,141697858,59112925,156585326,46974234,177725999,36543964,133624993,169623915,105549640,44879846,146077796,64640909
100421,1673.68333333333,27.89472222222,232087581,125360849,239780693,146077796,56448374,160694760,48848754,180473502,35852028,133624993,171763925,106784910,44107587,148542979,62151181
101321,1688.68333333333,28.14472222222,232087581,128083301,241726037,148048117,53849703,162251031,50486749,182133277,35394636,134092643,174459931,107198415,43089022,150531569,60621811
